"anime_title","anime_premiere","anime_release","anime_nextair","anime_badge"
"The Magnificent KOTOBUKI","1/13/2019 12:00:00 AM","1/9/2019 6:00:00 PM","",NA
"Mahoromatic: Automatic Maiden","9/10/2001 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Mahoromatic: Something More Beautiful","9/26/2002 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Negima! (2005)","1/5/2005 12:00:00 AM","8/30/2018 4:00:00 PM","","Dubbed"
"Maid-Sama!","4/1/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Majestic Prince","4/4/2013 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"MAOYU ~ ARCHENEMY & HERO","1/4/2013 12:00:00 AM","3/1/2021 6:00:00 PM","",NA
"Maria Holic","1/4/2009 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Maria Holic Alive","4/8/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Maria Watches Over Us ~ printemps","7/4/2004 12:00:00 AM","8/12/2019 5:00:00 PM","",NA
"Maria Watches Over Us","1/7/2004 12:00:00 AM","7/10/2019 5:00:00 PM","",NA
"Maria Watches Over Us 4th Season","1/3/2009 12:00:00 AM","10/4/2019 5:00:00 PM","",NA
"Mashiroiro Symphony ~ The Color of Lovers","10/5/2011 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Matoi the Sacred Slayer","10/4/2016 12:00:00 AM","10/1/2016 12:00:00 AM","",NA
"Mayo Chiki!","7/7/2011 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Meganebu!","10/6/2013 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Mezzo","1/4/2004 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Mitsuboshi Colors","1/7/2018 12:00:00 AM","1/4/2018 7:00:00 PM","","Dubbed"
"MM!","10/2/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Modern Magic Made Simple","7/11/2009 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Momo, The Girl God of Death","3/3/2006 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Momokuri","1/7/2016 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Momokyun Sword","7/8/2014 12:00:00 AM","10/1/2016 5:00:00 AM","",NA
"Monochrome Factor","4/7/2008 12:00:00 AM","10/11/2018 7:00:00 PM","","Exclusive"
"MONSTER MUSUME Everyday Life with Monster Girls","7/7/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Monthly Girls' Nozaki-kun","7/7/2014 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Moribito: Guardian of the Spirit","4/7/2007 12:00:00 AM","9/22/2020 5:00:00 PM","","Dubbed"
"Mother of the Goddess' Dormitory","7/14/2021 12:00:00 AM","7/8/2021 1:00:00 PM","","Dubbed"
"Motto To Love Ru","10/5/2010 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
"Mr. Tonegawa: Middle Management Blues","7/3/2018 12:00:00 AM","7/26/2018 5:00:00 AM","","Dubbed"
"My Girlfriend is Shobitch","10/11/2017 12:00:00 AM","10/6/2017 8:00:00 PM","","Dubbed"
"My Little Monster","10/1/2012 12:00:00 AM","4/20/2021 1:00:00 PM","",NA
"My Love Story!!","4/9/2015 12:00:00 AM","10/1/2016 5:00:00 AM","","Dubbed"
